date,time,latitude,longitude,elevation,heart_rate,cadence,temperature
2019-1-25,13:9:24,49.4071990,32.0891130,89.1,140,91,
2019-1-25,13:9:25,49.4071590,32.0890590,89.2,140,91,
2019-1-25,13:9:26,49.4071590,32.0890590,89.2,140,91,
2019-1-25,13:9:27,49.4071400,32.0890350,89.2,141,91,
2019-1-25,13:9:28,49.4071010,32.0889890,89.4,140,90,
2019-1-25,13:9:29,49.4070820,32.0889630,89.4,140,90,
2019-1-25,13:9:30,49.4070630,32.0889380,89.5,141,89,
2019-1-25,13:9:31,49.4070630,32.0889380,89.5,141,89,
2019-1-25,13:9:32,49.4070440,32.0889110,89.5,141,89,
2019-1-25,13:9:33,49.4070050,32.0888590,89.7,141,89,
2019-1-25,13:9:34,49.4070050,32.0888590,89.7,140,89,
2019-1-25,13:9:35,49.4069830,32.0888310,89.8,140,89,
2019-1-25,13:9:36,49.4069640,32.0888040,89.9,141,89,
2019-1-25,13:9:37,49.4069270,32.0887510,90.1,141,89,
2019-1-25,13:9:38,49.4069270,32.0887510,90.1,141,90,
2019-1-25,13:9:39,49.4069070,32.0887280,90.3,141,90,
2019-1-25,13:9:40,49.4068690,32.0886840,90.5,141,90,
2019-1-25,13:9:41,49.4068690,32.0886840,90.5,141,90,
2019-1-25,13:9:42,49.4068510,32.0886600,90.9,141,91,
2019-1-25,13:9:43,49.4068090,32.0886090,91.0,141,91,
2019-1-25,13:9:44,49.4068090,32.0886090,91.0,141,91,
2019-1-25,13:9:45,49.4067890,32.0885820,91.0,141,89,
2019-1-25,13:9:46,49.4067530,32.0885230,91.1,140,89,
2019-1-25,13:9:47,49.4067530,32.0885230,91.1,140,89,
2019-1-25,13:9:48,49.4067340,32.0884970,91.1,140,89,
2019-1-25,13:9:49,49.4066950,32.0884520,91.1,140,89,
2019-1-25,13:9:50,49.4066950,32.0884520,91.1,140,89,
2019-1-25,13:9:51,49.4066750,32.0884280,91.1,140,89,
2019-1-25,13:9:52,49.4066350,32.0883790,91.1,140,89,
2019-1-25,13:9:53,49.4066350,32.0883790,91.1,140,89,
2019-1-25,13:9:54,49.4066160,32.0883560,91.2,139,89,
2019-1-25,13:9:55,49.4065970,32.0883300,91.2,140,89,
2019-1-25,13:9:56,49.4065780,32.0883040,91.2,140,89,
2019-1-25,13:9:57,49.4065590,32.0882800,91.2,139,89,
2019-1-25,13:9:58,49.4065390,32.0882530,91.3,139,89,
2019-1-25,13:9:59,49.4064970,32.0882050,91.3,139,89,
2019-1-25,13:10:0,49.4064970,32.0882050,91.3,139,89,
2019-1-25,13:10:1,49.4064750,32.0881850,91.4,139,89,
2019-1-25,13:10:2,49.4064340,32.0881370,91.4,139,89,
2019-1-25,13:10:3,49.4064340,32.0881370,91.4,139,89,
2019-1-25,13:10:4,49.4064130,32.0881120,91.4,139,89,
2019-1-25,13:10:5,49.4063720,32.0880650,91.5,139,90,
2019-1-25,13:10:6,49.4063720,32.0880650,91.5,139,90,
2019-1-25,13:10:7,49.4063530,32.0880410,91.5,140,90,
2019-1-25,13:10:8,49.4063130,32.0879990,91.5,140,90,
2019-1-25,13:10:9,49.4063130,32.0879990,91.5,140,90,
2019-1-25,13:10:10,49.4062930,32.0879790,91.5,140,90,
2019-1-25,13:10:11,49.4062560,32.0879330,91.5,140,90,
2019-1-25,13:10:12,49.4062560,32.0879330,91.5,140,90,
2019-1-25,13:10:13,49.4062390,32.0879070,91.4,140,89,
2019-1-25,13:10:14,49.4062050,32.0878550,91.2,140,88,
2019-1-25,13:10:15,49.4062050,32.0878550,91.2,140,88,
2019-1-25,13:10:16,49.4061850,32.0878280,91.1,140,88,
2019-1-25,13:10:17,49.4061400,32.0877720,90.8,141,89,
2019-1-25,13:10:18,49.4061400,32.0877720,90.8,141,89,
2019-1-25,13:10:19,49.4061180,32.0877460,90.5,141,89,
2019-1-25,13:10:20,49.4060730,32.0876960,90.0,141,90,
2019-1-25,13:10:21,49.4060730,32.0876960,90.0,141,90,
2019-1-25,13:10:22,49.4060530,32.0876730,89.8,142,90,
2019-1-25,13:10:23,49.4060340,32.0876470,89.5,142,90,
2019-1-25,13:10:24,49.4059930,32.0875900,88.9,144,90,
2019-1-25,13:10:25,49.4059930,32.0875900,88.9,144,89,
2019-1-25,13:10:26,49.4059730,32.0875610,88.8,143,89,
2019-1-25,13:10:27,49.4059510,32.0875370,88.7,143,89,
2019-1-25,13:10:28,49.4059320,32.0875110,88.5,143,89,
2019-1-25,13:10:29,49.4059130,32.0874850,88.4,143,90,
2019-1-25,13:10:30,49.4058960,32.0874620,88.3,143,90,
2019-1-25,13:10:31,49.4058810,32.0874390,88.2,143,90,
2019-1-25,13:10:32,49.4058700,32.0874170,88.1,143,86,
2019-1-25,13:10:33,49.4058590,32.0873990,88.1,143,86,
2019-1-25,13:10:34,49.4058440,32.0873820,88.1,142,86,
2019-1-25,13:10:35,49.4058270,32.0873580,88.1,142,85,
2019-1-25,13:10:36,49.4057840,32.0873000,88.2,140,85,
2019-1-25,13:10:37,49.4057620,32.0872700,88.5,140,85,
2019-1-25,13:10:38,49.4057390,32.0872410,88.8,139,87,
2019-1-25,13:10:39,49.4057150,32.0872120,89.0,139,87,
2019-1-25,13:10:40,49.4056910,32.0871840,89.2,139,87,
2019-1-25,13:10:41,49.4056680,32.0871540,89.3,139,87,
2019-1-25,13:10:42,49.4056450,32.0871240,89.4,139,89,
2019-1-25,13:10:43,49.4056220,32.0870940,89.7,139,89,
2019-1-25,13:10:44,49.4055990,32.0870650,90.0,139,90,
2019-1-25,13:10:45,49.4055990,32.0870650,90.0,139,90,
2019-1-25,13:10:46,49.4055790,32.0870320,90.2,139,90,
2019-1-25,13:10:47,49.4055600,32.0870020,90.2,140,90,
2019-1-25,13:10:48,49.4055430,32.0869760,90.2,140,89,
2019-1-25,13:10:49,49.4055090,32.0869460,90.2,142,89,
2019-1-25,13:10:50,49.4054960,32.0869220,90.4,142,89,
2019-1-25,13:10:51,49.4054820,32.0868990,90.4,142,89,
2019-1-25,13:10:52,49.4054820,32.0868990,90.4,142,89,
2019-1-25,13:10:53,49.4054670,32.0868780,90.5,143,74,
2019-1-25,13:10:54,49.4054500,32.0868550,90.5,143,74,
2019-1-25,13:10:55,49.4054320,32.0868340,90.6,143,74,
2019-1-25,13:10:56,49.4054140,32.0868110,90.6,143,76,
2019-1-25,13:10:57,49.4053790,32.0867610,90.7,143,87,
2019-1-25,13:10:58,49.4053640,32.0867410,90.7,143,87,
2019-1-25,13:10:59,49.4053480,32.0867210,90.7,144,89,
2019-1-25,13:11:0,49.4053480,32.0867210,90.7,144,89,
2019-1-25,13:11:1,49.4053310,32.0867020,90.7,144,89,
2019-1-25,13:11:2,49.4053150,32.0866840,90.7,143,89,
2019-1-25,13:11:3,49.4053020,32.0866620,90.7,143,89,
2019-1-25,13:11:4,49.4052770,32.0866260,90.7,142,86,
2019-1-25,13:11:5,49.4052770,32.0866260,90.7,142,85,
2019-1-25,13:11:6,49.4052610,32.0866080,90.7,142,85,
2019-1-25,13:11:7,49.4052410,32.0865920,90.7,142,82,
2019-1-25,13:11:8,49.4052210,32.0865800,90.7,142,80,
2019-1-25,13:11:9,49.4052030,32.0865630,90.7,142,80,
2019-1-25,13:11:10,49.4051820,32.0865450,90.7,142,79,
2019-1-25,13:11:11,49.4051640,32.0865250,90.7,142,78,
2019-1-25,13:11:12,49.4051470,32.0865040,90.7,142,78,
2019-1-25,13:11:13,49.4051320,32.0864880,90.6,143,78,
2019-1-25,13:11:14,49.4051130,32.0864750,90.6,143,81,
2019-1-25,13:11:15,49.4050950,32.0864550,90.6,143,81,
2019-1-25,13:11:16,49.4050780,32.0864330,90.6,143,81,
2019-1-25,13:11:17,49.4050410,32.0863890,90.5,144,79,
2019-1-25,13:11:18,49.4050230,32.0863650,90.5,144,79,
2019-1-25,13:11:19,49.4050040,32.0863420,90.5,144,79,
2019-1-25,13:11:20,49.4049850,32.0863170,90.5,144,79,
2019-1-25,13:11:21,49.4049650,32.0862930,90.4,144,80,
2019-1-25,13:11:22,49.4049480,32.0862690,90.4,144,81,
2019-1-25,13:11:23,49.4049310,32.0862460,90.4,145,81,
2019-1-25,13:11:24,49.4049130,32.0862230,90.4,145,81,
2019-1-25,13:11:25,49.4048940,32.0862010,90.4,146,82,
2019-1-25,13:11:26,49.4048780,32.0861770,90.4,146,82,
2019-1-25,13:11:27,49.4048620,32.0861540,90.4,146,82,
2019-1-25,13:11:28,49.4048620,32.0861540,90.4,147,82,
2019-1-25,13:11:29,49.4048430,32.0861290,90.4,147,81,
2019-1-25,13:11:30,49.4048070,32.0860860,90.3,148,80,
2019-1-25,13:11:31,49.4047910,32.0860690,90.3,148,80,
2019-1-25,13:11:32,49.4047750,32.0860530,90.3,148,80,
2019-1-25,13:11:33,49.4047750,32.0860530,90.3,148,80,
